IP,Disk Utilization (%),Total Memory,Used Memory,Free Memory,Uptime (min),Disk Status,Memory Status,Uptime Status,Chrony Status
10.0.0.67,83,2048,755,1293,477,Pass,Pass,Fail,Pass
10.0.0.100,13,1024,1013,11,1177,Pass,Pass,Pass,Pass
10.0.0.205,20,4096,675,3421,148,Fail,Pass,Pass,Pass
10.0.0.224,45,2048,503,1545,76,Pass,Pass,Pass,Pass
10.0.0.219,46,2048,1388,660,1161,Pass,Pass,Pass,Pass
10.0.0.111,84,1024,886,138,713,Pass,Fail,Pass,Pass
10.0.0.151,83,2048,725,1323,774,Pass,Fail,Pass,Pass
10.0.0.222,14,8192,3796,4396,140,Pass,Pass,Pass,Pass
10.0.0.235,92,4096,1211,2885,77,Pass,Pass,Pass,Pass
10.0.0.41,85,1024,569,455,716,Pass,Fail,Pass,Fail
10.0.0.35,87,4096,724,3372,1101,Pass,Fail,Pass,Pass
10.0.0.89,37,4096,1078,3018,1050,Pass,Pass,Fail,Pass
10.0.0.49,56,2048,1746,302,1417,Pass,Fail,Pass,Fail
10.0.0.12,71,1024,677,347,415,Fail,Pass,Fail,Pass
10.0.0.215,18,8192,5380,2812,1225,Pass,Pass,Pass,Pass
10.0.0.124,96,1024,70,954,50,Fail,Pass,Pass,Pass
10.0.0.117,66,2048,883,1165,652,Pass,Pass,Pass,Pass
10.0.0.171,79,4096,944,3152,371,Pass,Pass,Pass,Pass
10.0.0.194,62,4096,2925,1171,1435,Pass,Fail,Pass,Pass
10.0.0.71,89,1024,956,68,389,Pass,Pass,Pass,Fail
10.0.0.18,76,1024,913,111,803,Pass,Pass,Pass,Pass
10.0.0.172,85,2048,1590,458,1028,Pass,Pass,Pass,Pass
10.0.0.239,49,2048,1205,843,1143,Pass,Fail,Pass,Pass
10.0.0.93,96,2048,1482,566,998,Pass,Pass,Pass,Pass
10.0.0.55,5,2048,1407,641,721,Pass,Pass,Pass,Pass
10.0.0.203,9,2048,348,1700,1340,Pass,Pass,Pass,Pass
10.0.0.154,81,4096,2033,2063,1048,Pass,Pass,Pass,Pass
10.0.0.19,57,2048,69,1979,184,Fail,Pass,Pass,Pass
10.0.0.246,72,2048,1391,657,389,Pass,Pass,Pass,Fail
10.0.0.249,44,8192,5614,2578,752,Pass,Pass,Pass,Fail
10.0.0.82,47,4096,2085,2011,645,Pass,Pass,Pass,Pass
10.0.0.91,41,1024,926,98,295,Pass,Pass,Pass,Pass
10.0.0.216,60,1024,286,738,203,Pass,Fail,Fail,Pass
10.0.0.219,73,4096,3212,884,1397,Pass,Pass,Pass,Pass
10.0.0.251,50,4096,961,3135,564,Pass,Pass,Pass,Pass
10.0.0.97,58,8192,1512,6680,461,Pass,Pass,Pass,Pass
