IP,Disk Utilization (%),Total Memory,Used Memory,Free Memory,Uptime (min),Disk Status,Memory Status,Uptime Status,Chrony Status,Overloaded,Underworked,Predicted_Overloaded
10.0.0.84,77,8192,5414,2778,1419,Pass,Fail,Pass,Pass,1,0,1
10.0.0.186,18,1024,788,236,351,Pass,Pass,Fail,Pass,1,0,1
10.0.0.244,46,8192,7570,622,706,Pass,Fail,Pass,Pass,0,0,0
10.0.0.12,57,4096,914,3182,176,Pass,Pass,Pass,Fail,0,0,0
10.0.0.251,24,4096,181,3915,75,Fail,Pass,Pass,Pass,0,1,0
10.0.0.248,63,2048,459,1589,1091,Pass,Pass,Pass,Pass,0,0,0
10.0.0.236,35,1024,733,291,125,Pass,Pass,Pass,Pass,1,0,1
10.0.0.85,94,4096,3180,916,920,Pass,Fail,Pass,Pass,1,0,1
10.0.0.98,76,8192,728,7464,536,Pass,Fail,Pass,Pass,1,0,1
10.0.0.174,60,8192,1014,7178,530,Pass,Pass,Pass,Pass,0,0,0
10.0.0.168,60,8192,4268,3924,895,Pass,Fail,Pass,Pass,0,0,0
10.0.0.245,37,1024,490,534,518,Pass,Pass,Pass,Pass,0,0,0
10.0.0.98,43,2048,1968,80,329,Fail,Pass,Pass,Pass,1,0,1
10.0.0.106,77,8192,4230,3962,274,Fail,Pass,Pass,Pass,1,0,1
10.0.0.100,80,1024,946,78,383,Pass,Pass,Pass,Pass,1,0,1
10.0.0.22,7,2048,425,1623,1355,Pass,Fail,Pass,Pass,0,1,0
10.0.0.190,67,1024,701,323,67,Pass,Pass,Pass,Pass,1,0,1
10.0.0.141,99,8192,3175,5017,297,Pass,Pass,Pass,Pass,1,0,1
10.0.0.42,31,1024,83,941,1030,Pass,Pass,Pass,Pass,0,0,0
10.0.0.81,6,4096,3291,805,1372,Pass,Fail,Pass,Pass,0,0,0
10.0.0.152,84,1024,313,711,864,Fail,Fail,Pass,Pass,1,0,1
10.0.0.193,45,4096,51,4045,942,Pass,Pass,Pass,Pass,0,0,0
10.0.0.233,76,2048,915,1133,596,Pass,Fail,Pass,Pass,1,0,1
10.0.0.33,75,8192,5349,2843,1404,Fail,Pass,Pass,Pass,1,0,1
10.0.0.226,47,4096,2455,1641,1231,Pass,Pass,Pass,Pass,0,0,0
10.0.0.96,37,8192,6261,1931,973,Pass,Pass,Pass,Pass,0,0,0
10.0.0.60,96,2048,442,1606,1012,Pass,Pass,Fail,Pass,1,0,1
10.0.0.91,76,4096,581,3515,243,Pass,Pass,Fail,Pass,1,0,1
10.0.0.179,97,8192,4874,3318,679,Pass,Fail,Pass,Pass,1,0,1
10.0.0.46,7,1024,740,284,1173,Pass,Fail,Pass,Pass,1,0,1
10.0.0.146,84,2048,1636,412,99,Pass,Pass,Pass,Pass,1,0,1
10.0.0.211,65,2048,1920,128,344,Pass,Pass,Pass,Pass,1,0,1
10.0.0.86,66,1024,112,912,638,Fail,Pass,Pass,Pass,0,0,0
10.0.0.78,20,8192,6312,1880,276,Fail,Pass,Pass,Fail,0,1,0
10.0.0.60,68,2048,896,1152,499,Pass,Fail,Pass,Pass,0,0,0
10.0.0.118,87,1024,479,545,101,Fail,Pass,Pass,Pass,1,0,1
10.0.0.205,72,2048,1094,954,1147,Fail,Pass,Pass,Fail,1,0,1
10.0.0.170,80,8192,3970,4222,1116,Fail,Pass,Pass,Pass,1,0,1
10.0.0.157,13,8192,7827,365,694,Pass,Pass,Pass,Pass,1,0,1
10.0.0.82,70,4096,1295,2801,877,Pass,Pass,Pass,Pass,0,0,0
10.0.0.61,95,4096,1431,2665,1256,Pass,Fail,Pass,Pass,1,0,1
10.0.0.209,63,4096,2356,1740,373,Pass,Fail,Pass,Pass,0,0,0
10.0.0.184,34,8192,850,7342,129,Fail,Pass,Pass,Pass,0,0,0
10.0.0.95,93,8192,5322,2870,794,Pass,Pass,Pass,Fail,1,0,1
10.0.0.23,26,2048,1589,459,1200,Pass,Fail,Pass,Fail,1,0,1
10.0.0.242,5,8192,6786,1406,1283,Fail,Pass,Pass,Pass,0,0,0
10.0.0.66,81,8192,3979,4213,1311,Pass,Pass,Pass,Pass,1,0,1
10.0.0.237,12,8192,3504,4688,521,Pass,Pass,Pass,Pass,0,1,0
10.0.0.15,91,1024,503,521,968,Pass,Pass,Pass,Pass,1,0,1
10.0.0.203,36,8192,8108,84,1099,Pass,Pass,Pass,Fail,1,0,1
10.0.0.13,61,2048,586,1462,480,Pass,Pass,Pass,Pass,0,0,0
10.0.0.237,94,2048,548,1500,1279,Pass,Pass,Pass,Pass,1,0,1
10.0.0.34,64,8192,5060,3132,1092,Pass,Pass,Pass,Pass,0,0,0
10.0.0.26,41,2048,435,1613,5,Pass,Pass,Pass,Fail,0,0,0
10.0.0.238,79,8192,6839,1353,24,Fail,Pass,Pass,Pass,1,0,1
10.0.0.155,44,4096,3972,124,494,Pass,Pass,Pass,Pass,1,0,1
10.0.0.93,1,2048,1226,822,856,Fail,Pass,Pass,Pass,0,0,0
10.0.0.195,61,4096,3097,999,545,Pass,Pass,Pass,Pass,0,0,0
10.0.0.213,45,1024,467,557,667,Pass,Pass,Pass,Pass,0,0,0
10.0.0.198,80,4096,948,3148,461,Pass,Pass,Fail,Pass,1,0,1
10.0.0.127,35,8192,903,7289,1167,Pass,Pass,Pass,Pass,0,0,0
10.0.0.207,23,2048,1817,231,874,Pass,Fail,Pass,Pass,1,0,1
10.0.0.80,46,2048,88,1960,1314,Fail,Fail,Pass,Pass,0,0,0
10.0.0.209,55,4096,1174,2922,1295,Fail,Fail,Pass,Pass,0,0,0
10.0.0.76,95,1024,477,547,806,Pass,Pass,Pass,Pass,1,0,1
10.0.0.7,61,4096,1443,2653,1088,Pass,Pass,Pass,Pass,0,0,0
10.0.0.245,38,4096,3485,611,6,Fail,Fail,Fail,Pass,0,0,0
10.0.0.140,47,8192,4780,3412,453,Pass,Pass,Pass,Pass,0,0,0
10.0.0.189,62,8192,1894,6298,1178,Pass,Pass,Pass,Pass,0,0,0
10.0.0.124,38,8192,7516,676,230,Pass,Pass,Pass,Pass,0,0,0
10.0.0.23,65,8192,1272,6920,377,Fail,Pass,Pass,Pass,0,0,0
10.0.0.133,48,2048,2000,48,65,Pass,Fail,Pass,Pass,1,0,1
